Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count
Water,Water,Tyla,7/28/2023,234.6,"67,03,76,179",83,"26,51,80,930","25,66,846","36,91,50,956","3,93,29,56,380","3,03,11,14,430",225
Strangers,Strangers,Kenya Grace,09-01-2023,233.5,"75,01,54,960",79,"11,82,08,096","14,95,758","19,69,85,853","2,23,17,49,390","1,74,51,68,821",163
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,231.6,"53,20,12,790",83,"6,21,23,098","9,23,733","3,52,23,547","5,33,22,81,936","38,47,16,227",221
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,230,"47,94,17,905",83,"11,63,47,040","36,70,188","3,52,23,547","5,33,22,81,936","11,27,63,851",138
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,04-12-2024,226.4,"31,19,28,522",96,"6,26,94,868","8,37,616","2,78,11,667","37,83,13,942","24,38,95,569",149
Lose Control,Lose Control,Teddy Swims,6/23/2023,224.1,"77,51,35,157",87,"13,91,80,960","15,04,385","4,90,60,857","59,75,13,595","4,01,68,01,205",215
fukumean,fukumean,Gunna,6/15/2023,221.1,"75,99,98,727",80,"9,46,99,547","12,22,012","31,12,52,391","3,28,17,90,327","14,06,23,676",123
Dance Monkey,Dance Monkey,Tones And I,05-10-2019,214.5,"3,07,12,14,106",71,"3,36,64,47,481","2,72,40,268","39,38,14,740","5,86,19,39,942","2,42,81,66,573",549
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,212.8,"21,42,37,645",92,"1,10,33,725","2,51,373","7,10,78,500","44,31,04,700","14,80,58,631",247
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,04-08-2023,211.2,"17,09,70,614",41,"2,22,80,037","3,34,523","94,82,25,544","12,19,69,85,599","11,27,63,851",2
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,209.6,"1,65,82,29,422",83,"46,60,80,689","43,24,989","5,42,58,768","1,05,18,36,430","1,42,58,53,925",285
Daylight,Daylight,David Kushner,4/14/2023,207,"1,12,68,20,069",82,"27,40,70,101","37,01,289","28,53,29,503","2,57,85,18,632","1,20,55,38,057",163
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,206.2,"99,77,02,304",86,"4,80,93,111","9,59,175","85,72,20,853","5,46,98,08,282","29,82,59,422",91
Please Please Please,Please Please Please,Sabrina Carpenter,06-06-2024,205.7,"5,93,14,441",83,"2,23,74,807","10,26,097","1,88,200","12,00,000","11,04,46,147",199
Houdini,Houdini - Single,Dua Lipa,11-09-2023,205.1,"49,36,27,071",80,"15,05,71,504","15,75,378","3,59,70,610","38,66,10,043","3,12,98,34,452",174
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,05-02-2024,204.4,"1,65,55,75,417",83,"11,63,47,040","36,70,188","3,52,23,547","5,33,22,81,936","11,27,63,851",138
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,02-10-2023,203.6,"30,49,29,492",69,"6,19,86,821","9,21,044","39,02,07,653","5,68,48,15,935","1,92,18,089",78
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,203.5,"1,74,70,93,405",74,"9,53,71,35,721","6,17,99,279","7,83,04,409","1,14,32,97,071","56,95,48,901",179
euphoria,euphoria,Kendrick Lamar,4/30/2024,202.1,"16,84,34,320",86,"5,36,04,746","18,46,535","3,52,23,547","5,33,22,81,936","17,43,75,427",65
Panda Basi,Panda Basi - EP,Mvua,02-10-2023,200.3,"1,04,271",25,"2,45,70,26,781","36,70,188","36,666","3,93,580","11,27,63,851",138
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,198,"1,39,16,88,322",77,"90,27,42,581","80,99,187","48,035","28,57,920","75,00,30,685",316
Shape of You,Shape of You,Ed Sheeran,01-06-2017,195.1,"3,90,94,58,734",80,"8,01,39,97,219","4,57,70,887","19,44,20,058","2,32,08,56,331","2,29,48,04,623",465
Mitu,Mitu - Single,Maian,1/19/2023,194.3,"55,346",13,"2,43,22,65,978","81,62,101","3,52,23,547","5,33,22,81,936","11,27,63,851",138
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,194,"4,28,14,68,720",83,"83,38,07,130","1,00,93,211","33,73,22,563","3,50,11,77,394","2,25,80,85,924",859
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12-02-2022,192.3,"1,33,76,19,917",80,"19,39,82,443","20,23,998","14,80,85,419","1,26,88,62,678","44,40,33,037",152
Dona Felicidade,Dona Felicidade,Sam Smith,9/22/2022,189.1,"1,55,62,75,789",74,"25,40,51,906","33,64,206","68,30,88,623","7,94,59,75,878","1,52,41,33,775",203
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,aespa,5/13/2024,186.1,"6,97,29,033",81,"11,13,10,770","17,24,693","6,10,38,623","39,39,73,528","3,20,59,104",40
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Bad Bunny,05-06-2022,184.8,"1,81,19,90,630",79,"1,51,68,63,120","88,70,768","54,98,86,060","6,47,09,37,272","93,48,94,575",124
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),JUVENILE,3/29/2024,181.4,"19,99,29,812",83,116347040,"36,70,188","3,52,23,547","5,33,22,81,936","11,27,63,851",1
